#药材名称	异名
一支箭	青藤
一支箭	蛇咬子
一匹草	一匹叶
一匹绸	白面水鸡
一匹绸	白背丝绸
一匹绸	绸缎藤
一匹绸	银背藤
一叶荻	小粒蒿
一叶荻	横子
一叶荻	粉条
一叶荻	老鼠牙
一叶荻	马扫帚牙
一叶荻	小孩拳
一叶荻	叶下珠
一叶荻	狗舌条
一叶荻	八颗叶下珠
一叶荻	山帚条条
一叶荻	山扫条
一叶荻	老米饮
一年蓬	女菀
一年蓬	野蒿
一年蓬	牙肿消
一年蓬	牙根消
一年蓬	千张草
一年蓬	墙头草
一年蓬	长毛草
一年蓬	地白菜
一年蓬	油麻草
一年蓬	白马兰
一年蓬	瞌睡草
一年蓬	白旋覆花
一把伞	岩谷伞
一把伞	茴心草
一把伞	小青药
一把伞	阿收鸡
一把伞	回心草
一枝蒿	新疆一枝蒿
一枝蒿	鹿角蒿
一枝旗	东南星蕨
一枝旗	石韦
一枝旗	灯火草
一点血	一点红
一点血	石鼓子
一点血	威氏秋海棠
一点血	一口血
一箭球	金钮草
一箭球	三叶珠
一箭球	散寒草
一箭球	水百足
一箭球	燕含珠
一箭球	单打槌
一箭球	白顶草
一箭球	火把草
一箭球	顶珠草
一箭球	水蜈蚣
一枝黄花	野黄菊
一枝黄花	黄花细辛
一枝黄花	黄花一枝香
一枝黄花	土泽兰
一枝黄花	百条根
一枝黄花	铁金拐
一枝黄花	益子草
一枝黄花	小白龙须
一枝黄花	黄花马兰
一枝黄花	大败毒
一枝黄花	红柴胡
一枝黄花	黄花仔
一枝黄花	红胶苦菜
一枝黄花	一枝香
一枝黄花	大叶七星剑
一枝黄花	金锁匙
一枝黄花	满山黄
一枝黄花	黄花儿
二色内风消	香苏子
二色内风消	北五味子
二色补血草	蝎子花菜
二色补血草	蛇蚤花
二色补血草	野菠菜
二色补血草	燎眉蒿
二色补血草	补血草
二色补血草	扫帚草
二色补血草	匙叶草
二色补血草	血见愁
二色补血草	秃子花
二色补血草	苍蝇花
二色补血草	白花菜棵
二色补血草	矶松
二歧银莲花根	土黄芩
二歧银莲花根	草玉梅
十八症	歪叶子兰
十八症	小麻疙瘩
十八症	石条花
十两叶	沙达木
十三年花	铜色毛紫云菜
十大功劳叶	功劳叶
丁香	丁子香
丁香	支解香
丁香	瘦香娇
丁香	雄丁香
丁香	公丁香
丁香	如宇香
丁香	索瞿香
丁香	百里馨
丁公藤	包公藤
