金线草	一串红
九子连环草	一串纽子
醉鱼草	一串花
豌豆七	一代宗
白及	一兜棕
宽羽线蕨	一包金
一匹草	一匹叶
断线蕨	一双剑
清风藤	一口两嘴
红木耳	一口红
红天葵	一叶红
莲蓬草	一叶莲
大黑头草	一号黄药
鼻血雷	一吊血
马棘	一味药
金耳环	一块瓦
包袱七	一块砖
鬼盖	一夜茸
蜘蛛抱蛋	一寸十八节
蜘蛛抱蛋	一帆青
倒赤伞	一把箭
山茶花	一捻红
五味藤	一摩消
眼睛草	一支林
枇杷芋	一支腊
三十六荡	一支香
地不容	一文钱
光叶海桐叶	一朵云叶
落地金钱	一朵芙蓉
田基黄	一条香
闹羊花	一杯倒
闹羊花	一杯醉
常山	一枝蓝
滴水珠	一滴珠
血水草	一滴血
地下明珠	一滴金丹
铁杆地柏枝	一炷香
一点血	一点红
瓶尔小草	一矛一盾
吹云草	一碗泡
百部	一窝虎
小肺筋草	一窝蛆
兰花参	一窝鸡
水蜈蚣	一粒关
水蜈蚣	一粒子草
水蜈蚣	一粒雪
盘龙参	一线香
麻柳果	一群鸭
洋蓍草	一苗蒿
穿心莲	一见喜
龙胆地丁	一见莲
七层楼	一见香
苦地胆	一针刺
南藤	丁公寄
葶苈子	丁历
代赭石	丁头代赭
丁香蓼	丁子蓼
丁香	丁子香
石蝴蝶	丁字草
老鸦柿	丁季李
石蝴蝶	丁拔
刺楸树皮	丁桐皮
木通	丁翁
黄水茄	丁茄
瓜子金	丁蒿
丁香树皮	丁香皮
滇丁香	丁香花
胡萝卜	丁香萝卜
麦斛	七仙桃
滇地黄连	七匹散
羊蹄草	七十二枝花
藏茄	七厘散
蜀漆	七叶
上天梯	七叶一枝花
竹节参	七叶子
小果蔷薇花	七叶朝春花
陆英	七叶根
七叶莲	七叶烂
绞股蓝	七叶胆
补血薯	七叶薯
七叶莲	七叶藤
接骨木	七叶金
倒触伞	七叶饭消扭
陆英	七叶麻
陆英	七叶黄香
草金杉	七头风
莲生桂子花	七姊妹
羊齿天冬	七姐妹
牛藤	七姐妹藤
凤眼果	七姐果
山香圆	七寸钉
护心胆	七寸高
小连翘	七层兰
田基黄	七层塔
山苦英	七托莲
大叶骨牌草	七星凤尾草
量天尺花	七星剑花
岗梅根	七星强
芙蓉花	七星花
地白草	七星莲
裸柱菊	七星菊
鳞瓦韦	七枝剑
补血薯	七爪金龙
陆英	七爪阳姜
铁苋	七盏灯
古钮菜	七粒扣
石鮅鱼	七色鱼
海桐枝叶	七里香叶
兔儿伞	七里麻
了哥王根	七麻根
鼻血雷	万丈龙
杠香藤	万刺藤
枳椇子	万字果
柿寄生	万寿木寄生
木通	万年
铁海棠	万年刺
霸王七	万年巴
地瓜藤	万年扒
开口箭	万年攀
玉柏	万年松
无漏子	万年枣
